Id,Sales
1,6616.092
857,6616.092
1713,7139.54
2569,8286.83
3425,2.5366502
4281,5410.658
5137,5355.8755
5993,5127.806
6849,5127.806
7705,5168.6436
8561,5264.962
9417,2.5366502
10273,5410.658
11129,6677.5195
11985,6664.2334
12841,6664.2334
13697,7187.6816
14553,8323.107
15409,43.016964
16265,5411.511
17121,5356.7285
17977,5175.948
18833,5175.948
19689,5216.7856
20545,5541.7183
21401,43.016964
22257,5411.511
23113,6677.5195
23969,6664.2334
24825,6664.2334
25681,7187.6816
26537,8323.107
27393,43.016964
28249,5411.511
29105,5356.7285
29961,5175.948
30817,5175.948
31673,5216.7856
32529,5541.7183
33385,43.016964
34241,5411.511
35097,6677.5195
35953,6664.2334
36809,6664.2334
37665,7187.6816
38521,8323.107
39377,43.016964
40233,5411.511
2,7889.4844
858,7889.4844
1714,8284.608
2570,9716.27
3426,302.15094
4282,5291.375
5138,5862.2495
5994,5730.015
6850,5730.015
7706,5770.8525
8562,5761.8784
9418,302.15094
10274,5291.375
11130,7901.6675
11986,7889.4844
12842,7889.4844
13698,8284.608
14554,9716.27
15410,302.15094
16266,5291.375
17122,5862.2495
17978,5730.015
18834,5730.015
19690,5770.8525
20546,5761.8784
21402,302.15094
22258,5291.375
23114,7901.6675
23970,7889.4844
24826,7889.4844
25682,8284.608
26538,9716.27
27394,302.15094
28250,5291.375
29106,5862.2495
29962,5730.015
30818,5730.015
31674,5799.736
32530,6045.2495
33386,302.15094
34242,5291.375
35098,7914.9497
35954,7918.3677
36810,7918.3677
37666,8313.491
38522,9767.823
39378,302.15094
40234,5291.375
3,10096.365
859,10096.365
1715,10360.746
2571,11390.716
3427,322.31125
4283,6793.5513
5139,8104.247
5995,8055.294
6851,8055.294
7707,8096.1313
8563,7645.9463
9419,322.31125
10275,6793.5513
11131,10057.638
11987,10096.365
12843,10096.365
13699,10360.746
14555,11390.716
15411,322.31125
16267,6793.5513
17123,8097.423
17979,8013.16
18835,8013.16
19691,8053.9976
20547,7834.9473
21403,322.31125
22259,6793.5513
23115,10050.814
23971,10054.232
24827,10054.232
25683,10318.613
