Id,Sales
1,4252.6377
2,7228.3423
3,8852.023
4,7371.083
5,7370.106
6,5697.59
7,7126.274
8,7953.401
9,5569.9
10,5491.9688
11,6592.977
12,8067.099
13,7234.2324
14,7883.3667
15,5394.7075
16,4587.8516
17,5423.3574
18,9626.194
19,10905.751
20,9818.236
21,7940.6816
22,4247.351
23,5496.3135
24,4186.5234
25,8002.2285
26,11257.626
27,9745.911
28,5670.6274
29,4890.016
30,4368.056
31,6123.835
32,10386.602
33,6308.1055
34,5245.2036
35,5109.249
36,7824.435
37,3648.2544
38,7133.7
39,4451.225
40,6829.9683
41,6405.877
42,5415.9546
43,8002.3584
44,6810.2515
45,4927.6714
46,6794.8286
47,7738.778
48,12257.452
49,5896.368
50,8302.403
51,6885.9414
52,9068.322
53,6442.4946
54,9182.897
55,4650.3193
56,5006.638
57,5823.361
58,5751.126
59,9101.613
60,7740.35
61,5506.835
62,7505.2944
63,6696.0635
64,10011.12
65,3997.6292
66,12557.443
67,4707.918
68,6187.552
69,8452.723
70,4613.788
71,6596.9775
72,6007.163
73,7453.787
74,5625.9863
75,5606.4917
76,7694.793
77,8126.2847
78,7535.0757
79,5016.6436
80,7056.1284
81,11231.169
82,6486.4824
83,4290.5645
84,6632.5176
85,5849.643
86,5394.6816
87,7155.104
88,3889.1904
89,7822.853
90,5934.239
91,6758.3545
92,6576.973
93,4157.563
94,5900.0195
95,5272.8384
96,8269.929
97,8202.919
98,5126.892
99,4976.8794
100,7242.483
101,5747.759
102,6500.1826
103,6795.8657
104,6423.6694
105,7370.0146
106,5275.656
107,4326.476
108,6386.0073
109,7724.9727
110,8124.0137
111,8584.016
112,7818.661
113,5482.072
114,8707.675
115,5631.86
116,7093.005
117,8759.629
118,6294.72
119,10107.475
120,7614.229
121,7419.733
122,5759.443
123,7052.798
124,7661.6543
125,6056.532
126,3672.3083
127,5303.689
128,7608.363
129,4948.1797
130,4468.1646
131,8484.386
132,5898.4775
133,5509.8037
134,5917.446
135,5160.5103
136,7417.32
137,7078.2314
138,6668.9614
139,5503.023
140,4872.0396
141,6319.7227
142,3838.8228
143,5956.9062
144,5050.045
145,8362.294
146,6297.789
147,5767.5127
148,12161.58
149,5085.4585
150,5197.521
151,10420.05
152,6769.283
153,8464.559
154,7225.9575
155,5693.57
156,6343.0757
157,4857.951
158,8301.912
159,10854.913
160,5887.803
161,3137.8115
162,4490.383
163,8592.838
164,8407.318
165,6012.6147
166,7154.824
167,4733.987
168,5511.27
169,3264.3574
170,4530.274
171,5329.5625
172,6559.563
173,6315.1733
174,6311.855
175,7822.6367
176,9791.92
177,7295.8696
178,4876.703
179,8562.118
180,9772.29
181,5810.04
182,7601.4287
183,5247.1147
184,6322.6045
185,4056.75
186,6799.211
187,5282.4336
188,9248.653
189,7243.2085
190,8253.57
191,8006.9854
192,5218.211
193,8551.761
194,18500.027
195,9757.537
196,5564.393
197,2849.2922
198,6273.8667
199,7869.7764
200,5666.075
201,12234.828
202,19630.553
203,4093.965
204,5028.5684
205,10014.883
206,4734.5737
207,7936.3433
208,6683.0723
209,7366.7886
210,4812.0483
211,6251.335
212,5883.598
213,7196.7183
214,9568.061
215,5937.953
216,5932.722
217,6660.1763
218,5365.497
219,4291.8945
220,7624.447
221,5843.7373
222,5850.0728
223,6938.533
224,6184.0884
225,5689.8237
226,6752.008
227,6912.6455
228,8582.771
229,6895.0635
230,7533.9185
231,5882.4478
232,3950.2449
233,6782.086
234,6459.4956
235,6012.0757
236,4381.9404
237,8745.003
238,7299.9697
239,9630.464
240,7002.7524
241,5815.4624
242,4911.6978
243,4253.871
244,9892.183
245,4826.193
246,7622.7524
247,14993.682
248,7589.5474
249,7714.3257
250,5478.3394
251,4585.996
252,7034.678
253,4011.473
254,5535.6846
255,10417.148
256,5092.735
257,16314.893
258,13425.131
259,5240.218
260,6916.18
261,5620.794
262,6770.7363
263,5668.6157
264,11891.681
265,8237.408
266,9939.716
267,4100.6562
268,7550.0464
269,5044.297
270,7610.1846
271,6711.147
272,5881.8867
273,6544.009
274,6095.844
275,8232.083
276,9459.14
277,5644.584
278,9954.108
279,6551.1406
280,9579.657
281,5665.94
282,5501.7056
283,5298.8394
284,9956.311
285,6156.0806
286,7714.186
287,6690.503
288,8778.899
289,4435.72
290,8602.1455
291,7240.48
292,3973.3508
293,13418.999
294,17638.668
295,7214.5186
296,6655.274
297,9932.088
298,10144.328
299,11202.369
300,5578.3804
301,7565.0254
302,5603.092
303,8476.216
304,4174.512
305,6039.14
306,5498.594
307,5490.345
308,7364.8003
309,5272.094
310,4746.9644
311,6951.0327
312,3979.268
313,4722.8735
314,6059.728
315,6646.3423
316,9163.771
317,8577.942
318,7436.538
319,6469.9844
320,5809.868
321,11689.94
322,7372.0884
323,5263.311
324,4820.7314
325,8202.552
326,4551.19
327,7125.859
328,3229.958
329,4987.12
330,8387.783
331,4642.174
332,5233.759
333,8820.394
334,9704.801
335,12007.324
336,6019.024
337,9154.512
338,3018.9966
339,5049.4717
340,6557.286
341,4431.5083
342,7652.306
343,4754.3374
344,5078.163
345,8746.33
346,10922.458
347,9156.477
348,5504.5293
349,5122.0674
350,7897.734
351,7347.498
352,6148.311
353,5422.8506
354,7056.1284
355,9844.491
356,4324.974
357,6211.915
358,7922.117
359,8325.59
360,13689.454
361,4986.706
362,14393.551
363,6809.6343
364,5215.5537
365,3567.9817
366,6053.581
367,6211.4473
368,5789.6924
369,7111.458
